PAC,long,lat
NODE#445011431,-43.15498000752126,-19.819387468556783
NODE#424245232,-43.156231081399255,-19.815487508141928
NODE#444956603,-43.17037671751149,-19.81668230964084
NODE#424245920,-43.16803689378759,-19.80979710904927
NODE#434806996,-43.16539122502496,-19.815502239936393
NODE#424245525,-43.1518722428097,-19.815958227690032
NODE#424245371,-43.15753511005727,-19.820022381827414
NODE#445009926,-43.161112592472136,-19.83043338888973
NODE#535524313,-43.16821132179501,-19.80964429444856
NODE#442900132,-43.17404356196079,-19.825792528302486
NODE#444956008,-43.16727559069591,-19.836061151101205
NODE#424245661,-43.17014008159947,-19.808910244412232
NODE#424312122,-43.15013773836591,-19.81707157399387
NODE#433473808,-43.14027827292392,-19.823540266170312
NODE#424246070,-43.165790332457846,-19.811315846349203
NODE#433472894,-43.1534513983633,-19.816908663603897
NODE#424246734,-43.1391650849007,-19.81943477739304
NODE#442497686,-43.162058978738855,-19.824615695258103
NODE#434806995,-43.16505301338583,-19.815497476227506
NODE#433472884,-43.153215183334,-19.816669530274567
NODE#2486161617,-43.15820247716255,-19.828650915507296
NODE#442498247,-43.16269036217045,-19.826012470099386
NODE#434807321,-43.17054481968762,-19.816029236360123
NODE#442498027,-43.166847999935214,-19.833247323505134
NODE#424246703,-43.142805630475436,-19.821924986648753
NODE#445011961,-43.154318427553335,-19.814902920933037
NODE#433474943,-43.13744246949432,-19.821335414497753
NODE#433474362,-43.13650080916494,-19.822637896321794
NODE#433472879,-43.15333583008447,-19.816378899966196
100#1657746022,-43.19227528937307,-19.80830374522162
NODE#119540197,-43.16718651014929,-19.816802152397372
NODE#424245207,-43.157212059189135,-19.816219882741336
NODE#424312173,-43.138431450351106,-19.818887367258128
NODE#445056350,-43.13758698515119,-19.823279879163067
NODE#445009311,-43.164344868320995,-19.811515607359354
NODE#424246744,-43.14184147450442,-19.819124157853537
NODE#445012570,-43.144447543419346,-19.826247396400163
NODE#434602700,-43.13835826532164,-19.820507400596
NODE#433298753,-43.16784429228022,-19.81778306993266
NODE#433474647,-43.13877229250727,-19.82207505741792
NODE#433298573,-43.166538560306265,-19.815606956096076
NODE#424246299,-43.16287444889667,-19.81426786736813
NODE#434600293,-43.14935450170884,-19.81854222454399
NODE#433472248,-43.15703605197217,-19.8248733114541
NODE#424247039,-43.14724310128804,-19.818742943332097
NODE#442497891,-43.159865407262714,-19.821664265093716
NODE#424246001,-43.166298296529135,-19.811005686363274
NODE#424245995,-43.166730561965835,-19.810730396690417
NODE#445012026,-43.15591900765605,-19.81410361968625
NODE#424244413,-43.17705710829887,-19.807427220090062
NODE#424245131,-43.163138740760246,-19.815357059680537
NODE#424246420,-43.16279400543897,-19.814550305751936
NODE#442497737,-43.161575171357015,-19.823553673263348
NODE#424244917,-43.181388431231085,-19.80864777817237
NODE#424245051,-43.157055391892754,-19.81817210405933
NODE#439763715,-43.153198547674776,-19.815630582185577
NODE#442497537,-43.166400170831196,-19.832495694420743
NODE#445009711,-43.16274887566004,-19.811283009403326
NODE#433297644,-43.171581925065766,-19.818530149346884
NODE#424246139,-43.16740243827189,-19.810286561475607
NODE#445010992,-43.15620211513544,-19.827611836117285
NODE#445012566,-43.14468290499201,-19.826760706041682
NODE#433473913,-43.13955442569613,-19.82296874611069
NODE#445011800,-43.15375497531181,-19.8152116132253
NODE#433473323,-43.152090716013674,-19.821806772564457
NODE#433471163,-43.16717447991829,-19.83383699458159
NODE#445012051,-43.15424177653671,-19.816210358920898
NODE#442498056,-43.164349155389175,-19.82968877361799
NODE#433473407,-43.15483428947084,-19.828117157980387
NODE#445056355,-43.13886137934912,-19.821112111035063
NODE#445010226,-43.16068394590735,-19.812183800042305
NODE#445012536,-43.148396629300976,-19.818610330202546
NODE#424245026,-43.17981816187864,-19.8083213431554
NODE#537936980,-43.18606904005412,-19.809542615299392
NODE#444955883,-43.169725558887365,-19.815903548010283
NODE#442497646,-43.1631762757645,-19.827093117952984
NODE#433473157,-43.152299550284,-19.82200887720785
NODE#1981522139,-43.15297004253341,-19.822804776319344
NODE#445009681,-43.16305940976389,-19.809488084007853
NODE#424244862,-43.17370159205478,-19.808126560792118
NODE#424246873,-43.1424851615609,-19.824017172154754
NODE#442498121,-43.16474985462207,-19.830569682045166
NODE#424246059,-43.165514738814124,-19.811420356564156
NODE#445011801,-43.15346199957156,-19.815288657245674
NODE#1600635845,-43.18761868525405,-19.808592972587576
NODE#445055940,-43.13823704570308,-19.823187346119084
NODE#434602714,-43.13921062746846,-19.81957605459121
NODE#442497427,-43.16924243858762,-19.834844711913888
NODE#424311703,-43.14909681536568,-19.818098175290515
NODE#444956603,-43.17037671751149,-19.81668230964084
NODE#433297389,-43.168731933931554,-19.836984721567603
NODE#442497752,-43.163390123755164,-19.827534109511475
NODE#444956063,-43.16779201379035,-19.83637123194677
NODE#424246570,-43.15865362926155,-19.820770429811432
NODE#424311753,-43.14957884568713,-19.81736322413343
NODE#444955564,-43.171351721105,-19.81836065591949
NODE#433298868,-43.167107897711276,-19.833812872066346
NODE#445009506,-43.1627286319208,-19.809628740673816
NODE#434602694,-43.13856828489838,-19.819953859782743
NODE#433473902,-43.13975340699409,-19.823197869086357
NODE#433298919,-43.166476123973894,-19.836183976009636
NODE#442497692,-43.16182666676724,-19.824098371942284
NODE#445011915,-43.154420055441165,-19.816679565809295
NODE#424245710,-43.16959156170117,-19.808968439541786
NODE#1981522710,-43.153125486751776,-19.823035545953644
